Rank,Team,Home Games,Home Wins,Home Ties,Home Losses,Home Goals For,Home Goals Against,Home Goal Diff,Home Points,Home Points Avg,Home xG For,Home xG Against,Home xG Diff,Home xG Diff Per 90,Away Games,Away Wins,Away Ties,Away Losses,Away Goals For,Away Goals Against,Away Goal Diff,Away Points,Away Points Avg,Away xG For,Away xG Against,Away xG Diff,Away xG Diff Per 90,Competicion,Temporada,season_weight,Home Win Ratio,Home Tie Ratio,Home Loss Ratio,Away Win Ratio,Away Tie Ratio,Away Loss Ratio
7,West Ham,19,9,5,5,33,26,7,32,1.68,28.0,21.6,6.399999999999999,+0.34,19,7,3,9,27,25,2,24,1.26,23.4,31.9,-8.5,-0.45,Premier leaqgue,2021/2022,0.75,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.15789473684210525,0.47368421052631576
8,Leicester City,19,10,4,5,34,23,11,34,1.79,26.1,28.4,-2.299999999999997,-0.12,19,4,6,9,28,36,-8,18,0.95,21.7,30.8,-9.100000000000001,-0.48,Premier leaqgue,2021/2022,0.75,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.3157894736842105,0.47368421052631576
9,Brighton,19,5,7,7,19,23,-4,22,1.16,25.2,19.8,5.399999999999999,+0.29,19,7,8,4,23,21,2,29,1.53,20.9,23.1,-2.200000000000003,-0.11,Premier leaqgue,2021/2022,0.75,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.21052631578947367
10,Wolves,19,7,3,9,20,25,-5,24,1.26,19.2,28.9,-9.7,-0.51,19,8,3,8,18,18,0,27,1.42,18.3,28.0,-9.7,-0.51,Premier leaqgue,2021/2022,0.75,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.42105263157894735,0.15789473684210525,0.42105263157894735
11,Newcastle Utd,19,8,6,5,26,27,-1,30,1.58,21.2,27.4,-6.199999999999999,-0.32,19,5,4,10,18,35,-17,19,1.00,16.9,29.8,-12.900000000000002,-0.68,Premier leaqgue,2021/2022,0.75,0.42105263157894735,0.3157894736842105,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.5263157894736842
12,Crystal Palace,19,7,8,4,27,17,10,29,1.53,28.2,17.0,11.2,+0.59,19,4,7,8,23,29,-6,19,1.00,18.2,23.7,-5.5,-0.29,Premier leaqgue,2021/2022,0.75,0.3684210526315789,0.42105263157894735,0.21052631578947367,0.21052631578947367,0.3684210526315789,0.42105263157894735
13,Brentford,19,7,3,9,22,21,1,24,1.26,25.4,20.5,4.899999999999999,+0.26,19,6,4,9,26,35,-9,22,1.16,20.4,28.0,-7.600000000000001,-0.40,Premier leaqgue,2021/2022,0.75,0.3684210526315789,0.15789473684210525,0.47368421052631576,0.3157894736842105,0.21052631578947367,0.47368421052631576
14,Aston Villa,19,6,5,8,29,29,0,23,1.21,23.6,24.5,-0.8999999999999986,-0.05,19,7,1,11,23,25,-2,22,1.16,20.4,24.4,-4.0,-0.21,Premier leaqgue,2021/2022,0.75,0.3157894736842105,0.2631578947368421,0.42105263157894735,0.3684210526315789,0.05263157894736842,0.5789473684210527
15,Southampton,19,6,7,6,23,24,-1,25,1.32,21.8,24.3,-2.5,-0.13,19,3,6,10,20,43,-23,15,0.79,23.0,35.7,-12.700000000000003,-0.67,Premier leaqgue,2021/2022,0.75,0.3157894736842105,0.3684210526315789,0.3157894736842105,0.15789473684210525,0.3157894736842105,0.5263157894736842
16,Everton,19,9,2,8,27,25,2,29,1.53,23.6,22.6,1.0,+0.05,19,2,4,13,16,41,-25,10,0.53,17.6,32.8,-15.199999999999996,-0.80,Premier leaqgue,2021/2022,0.75,0.47368421052631576,0.10526315789473684,0.42105263157894735,0.10526315789473684,0.21052631578947367,0.6842105263157895
17,Leeds United,19,4,6,9,19,38,-19,18,0.95,25.2,31.6,-6.400000000000002,-0.34,19,5,5,9,23,41,-18,20,1.05,19.1,36.2,-17.1,-0.90,Premier leaqgue,2021/2022,0.75,0.21052631578947367,0.3157894736842105,0.47368421052631576,0.2631578947368421,0.2631578947368421,0.47368421052631576
18,Burnley,19,5,6,8,18,25,-7,21,1.11,22.9,25.7,-2.8000000000000007,-0.15,19,2,8,9,16,28,-12,14,0.74,16.9,31.4,-14.5,-0.76,Premier leaqgue,2021/2022,0.75,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.10526315789473684,0.42105263157894735,0.47368421052631576
